Institution Name_x,State Abbreviation,MSI Status,MSI Type,Average Work Study Award,Student Family Earnings Ceiling,Affordability Gap (net price minus income earned working 10 hrs at min wage),100% TTD Affordability Gap,Student Parent Affordability Gap: Center-Based Care,100% TTD Student Parent Affordability Gap: Center-Based Care,State,Latitude,Longitude,Admissions Website,Percent of Undergraduates Age 25 to 64,Percent of American Indian or Alaska Native Undergraduates,Percent of Asian Undergraduates,Percent of Black or African American Undergraduates,Percent of Latino Undergraduates,Percent of Native Hawaiian or Other Pacific Islander Undergraduates,Percent of White Undergraduates,Percent of Women Undergraduates,Percent of Men Undergraduates,"Percent of Bachelor Degrees Awarded in Science, Technology, Engineering, and Math",Percent of Bachelor Degrees Awarded in Arts and Humanities,Percent of Bachelor Degrees Awarded in Education,Percent of Bachelor Degrees Awarded in Social Sciences,Percent of Bachelor Degrees Awarded in Health Sciences,Percent of Bachelor Degrees Awarded in Business,Average Cost of Attendance In-State,Average Cost of Attendance Out-of-State,"Average Net Price for Low-Income Students, 2020-21",Median Debt for Dependent Students,Median Debt for Independent Students,Median Earnings of Dependent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Independent Students Working and Not Enrolled 10 Years After Entry,Median Earnings of Students Working and Not Enrolled 10 Years After Entry
Westfield State University,MA,1.0,Not MSI,2015.0,48000.0,6813.0,27252.0,31696.13,126784.52,Massachusetts,42.13,-72.8,www.westfield.ma.edu/admissions,12.0,0.0,2.0,5.0,11.0,0.0,71.0,56.0,44.0,0.042927,0.091707,0.110244,0.040976,0.094634,0.14439,23196.0,29276.0,12032.0,17850.0,11134.0,51175.0,52928.0,47921.5
Colorado State University Pueblo,CO,0.0,HSI,2781.0,48000.0,5186.0,20744.0,24008.78,96035.12,Colorado,38.31,-104.58,https://www.csupueblo.edu/admissions/index.html,21.0,1.0,2.0,6.0,34.0,1.0,47.0,54.0,46.0,0.046897,0.048276,0.005517,0.088276,0.21931,0.151724,23974.66667,30628.66667,10777.0,12700.0,18433.0,43544.0,46792.0,47921.5
Worcester State University,MA,1.0,Not MSI,2015.0,48000.0,3311.0,13244.0,28194.13,112776.52,Massachusetts,42.27,-71.84,https://www.worcester.edu/admissions-aid/,13.0,0.0,5.0,8.0,14.0,0.0,63.0,62.0,38.0,0.092823,0.028708,0.063158,0.066029,0.195215,0.168421,19976.66667,26056.66667,8445.0,14500.0,11500.0,57434.0,57124.0,47921.5
Aquinas College,MI,1.0,Not MSI,2082.0,48000.0,7306.0,29224.0,22764.8,91059.2,Michigan,42.96,-85.63,https://www.aquinas.edu/undergraduate-admissions,8.0,0.0,2.0,4.0,7.0,0.0,69.0,57.0,43.0,0.036913,0.087248,0.063758,0.040268,0.057047,0.251678,44986.0,44986.0,11620.0,19000.0,20038.0,43539.0,41425.0,47921.5
Tufts University,MA,1.0,Not MSI,2015.0,48000.0,5245.0,20980.0,30128.13,120512.52,Massachusetts,42.41,-71.12,https://admissions.tufts.edu/,1.0,0.0,15.0,5.0,9.0,0.0,48.0,55.0,45.0,0.117306,0.0,0.004345,0.266474,0.03693,0.0,78500.0,78500.0,8299.0,15500.0,12500.0,69274.0,44551.0,47921.5
Albertus Magnus College,CT,1.0,Not MSI,2126.0,48000.0,26330.0,105320.0,49505.26,198021.04,Connecticut,41.33,-72.92,https://www.albertus.edu/undergraduate-degrees/,40.0,0.0,1.0,29.0,22.0,0.0,33.0,60.0,40.0,0.013274,0.048673,0.0,0.088496,0.053097,0.393805,54453.33333,54453.33333,26294.0,21200.0,29420.0,43811.0,63229.0,47921.5
Western Colorado University,CO,1.0,Not MSI,2781.0,48000.0,3766.0,15064.0,22588.78,90355.12,Colorado,38.55,-106.92,www.western.edu/admissions-aid,7.0,1.0,2.0,5.0,23.0,0.0,54.0,49.0,51.0,0.116071,0.0,0.044643,0.110119,0.0,0.184524,22339.0,34123.0,11976.0,11100.0,20000.0,47206.0,38756.0,47921.5
Suffolk University,MA,1.0,Not MSI,2015.0,48000.0,19928.0,79712.0,44811.13,179244.52,Massachusetts,42.36,-71.06,https://www.suffolk.edu/admission/,5.0,0.0,7.0,6.0,15.0,0.0,50.0,59.0,41.0,0.056109,0.000905,0.0,0.109502,0.0,0.446154,59189.66667,59189.66667,22545.0,20500.0,22500.0,62141.0,57351.0,47921.5
Mid-America Christian University,OK,1.0,Not MSI,2215.0,48000.0,10159.0,40636.0,25379.73,101518.92,Oklahoma,35.35,-97.58,https://www.macu.edu/admissions/,58.0,6.0,1.0,12.0,16.0,0.0,42.0,63.0,37.0,0.006969,0.0,0.017422,0.0,0.055749,0.515679,27744.66667,27744.66667,18503.0,9050.0,15688.0,44143.0,45984.0,47921.5
University of Minnesota-Twin Cities,MN,0.0,AANAPII,2355.0,75000.0,5821.0,23284.0,25746.14,102984.56,Minnesota,44.97,-93.24,https://admissions.tc.umn.edu/,6.0,0.0,11.0,7.0,5.0,0.0,62.0,55.0,45.0,0.11157,0.000118,0.045809,0.115466,0.043802,0.101771,25771.33333,44335.33333,6720.0,16500.0,18750.0,61448.0,59811.0,47921.5
